column,original_value,encoded_value
protocol_type,icmp,0
protocol_type,tcp,1
protocol_type,udp,2
service,IRC,0
service,X11,1
service,Z39_50,2
service,aol,3
service,auth,4
service,bgp,5
service,courier,6
service,csnet_ns,7
service,ctf,8
service,daytime,9
service,discard,10
service,domain,11
service,domain_u,12
service,echo,13
service,eco_i,14
service,ecr_i,15
service,efs,16
service,exec,17
service,finger,18
service,ftp,19
service,ftp_data,20
service,gopher,21
service,harvest,22
service,hostnames,23
service,http,24
service,http_2784,25
service,http_443,26
service,http_8001,27
service,imap4,28
service,iso_tsap,29
service,klogin,30
service,kshell,31
service,ldap,32
service,link,33
service,login,34
service,mtp,35
service,name,36
service,netbios_dgm,37
service,netbios_ns,38
service,netbios_ssn,39
service,netstat,40
service,nnsp,41
service,nntp,42
service,ntp_u,43
service,other,44
service,pm_dump,45
service,pop_2,46
service,pop_3,47
service,printer,48
service,private,49
service,red_i,50
service,remote_job,51
service,rje,52
service,shell,53
service,smtp,54
service,sql_net,55
service,ssh,56
service,sunrpc,57
service,supdup,58
service,systat,59
service,telnet,60
service,tftp_u,61
service,tim_i,62
service,time,63
service,urh_i,64
service,urp_i,65
service,uucp,66
service,uucp_path,67
service,vmnet,68
service,whois,69
flag,OTH,0
flag,REJ,1
flag,RSTO,2
flag,RSTOS0,3
flag,RSTR,4
flag,S0,5
flag,S1,6
flag,S2,7
flag,S3,8
flag,SF,9
flag,SH,10
attack,back,0
attack,buffer_overflow,1
attack,ftp_write,2
attack,guess_passwd,3
attack,imap,4
attack,ipsweep,5
attack,land,6
attack,loadmodule,7
attack,multihop,8
attack,neptune,9
attack,nmap,10
attack,normal,11
attack,perl,12
attack,phf,13
attack,pod,14
attack,portsweep,15
attack,rootkit,16
attack,satan,17
attack,smurf,18
attack,spy,19
attack,teardrop,20
attack,warezclient,21
attack,warezmaster,22
attack_category,DoS,0
attack_category,Normal,1
attack_category,Probe,2
attack_category,R2L,3
attack_category,U2R,4
